sample_id,group,replicate,origin,colony_count,fastq_r1,fastq_r2,notes
Mel1,Melittin,1,population,10,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Mel1_1.fastq.gz,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Mel1_2.fastq.gz,Melittin-evolved replicate 1
Mel2,Melittin,2,population,10,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Mel2_1.fastq.gz,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Mel2_2.fastq.gz,Melittin-evolved replicate 2
Pex1,Pexiganan,1,population,10,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Pex1_1.fastq.gz,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Pex1_2.fastq.gz,Pexiganan-evolved replicate 1
Pex2,Pexiganan,2,population,10,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Pex2_1.fastq.gz,C:\Users\hayouka-lab\Documents\Bar\3rd_evolution\WGS\samples\Pex2_2.fastq.gz,Pexiganan-evolved replicate 2
